_id,subject.name,subject.value,results.concat_with_reduce().performance,results.concat_with_reduce().rme,results.concat_with_join().performance,results.concat_with_join().rme,results.concat_with_toString().performance,results.concat_with_toString().rme,results.concat_with_for_loop_and_+_operator.performance,results.concat_with_for_loop_and_+_operator.rme,results.concat_with_for_and_concat_function.performance,results.concat_with_for_and_concat_function.rme,results.concat_recursive_with_+_operator.performance,results.concat_recursive_with_+_operator.rme,results.concat_tail_recursive_with_+_operator.performance,results.concat_tail_recursive_with_+_operator.rme,results.concat_recursive_with_concat_function.performance,results.concat_recursive_with_concat_function.rme
601153f1289a20936908ffc2,array_size,790,242305.0531158847,1.092086991131081,98835.8156110768,0.17391204164881596,20817.16841656421,1.2955070615872153,227060.83697013743,8.15887639163567,204666.86633723174,36.41485567293282,88885.06241396695,6.3555855057096435,90235.21309314265,1.0209459951848725,83538.38803486069,16.870401991700277
6011546e289a20936908ffc4,array_size,536,360920.1517235233,2.4159047086918353,145212.2163039709,0.14488767723636925,30675.70473436529,1.1524520822322315,336124.8303643669,9.310507415590754,351159.26144552534,2.0698425052322316,136236.66972294278,0.9057594704691658,136605.9346547188,1.7530719746417436,135838.84884468446,1.6801925732508831
60115627289a20936908ffc7,array_size,654,280529.90549478884,6.22113288171363,118529.05845562625,1.6069146002223378,25290.94499323171,1.0151049542796031,289979.66688237246,6.035398582552809,287392.9063920347,1.7322844098901544,110618.13321327936,0.6528867631512703,98050.67152782419,29.233467499057316,110665.15820603546,1.6008198252483397
60115627289a20936908ffc8,array_size,854,219817.80361807134,2.5224139625951802,91368.5529056491,0.507012170509331,19063.814633741607,1.080987914745497,214576.92735703033,2.5486191196139956,222108.28477614833,1.4542134838593077,82534.89592602597,1.5785936181627362,81421.61368183297,5.411543003400359,86478.50444052056,0.379164235762358
6011565b289a20936908ffca,array_size,926,200550.77816495698,2.2605390419418447,84094.83950373273,0.6819778017156712,17690.02076137938,2.031379864440189,200677.12936905934,1.0716336705771659,203263.16615448485,3.370316591313724,73524.80816238007,3.362139671862903,75027.95693324917,2.5194412470589436,79418.70483806769,0.33775483858451655
601157c8289a20936908ffcc,array_size,822,229316.73590959836,2.9073394675044986,94099.30706748871,1.2006845129531465,20274.883869118905,0.7333692922445646,225236.27002585202,2.4793258098274995,219355.45218083556,4.861391134692443,82796.1808386591,4.885622240308157,88719.16459545157,0.304077911344292,85966.65790434805,2.506284286257504
60115800289a20936908ffce,array_size,784,243655.6463021525,1.2264438376884759,94590.99348470845,2.5979352171919454,19692.53113878806,6.526873650636153,234344.02805612044,2.913485158470583,234817.34429738586,3.728790989192591,88729.1855443186,6.477181559950878,94818.86616699205,0.5533900288968303,88817.50871737913,6.054142998705399
601158c5289a20936908ffd0,array_size,202,767566.3829963387,29.251590172859228,373911.7820519509,0.31884144904972417,80091.62092775927,1.1779856284089631,847972.7158020459,7.164478977063826,848445.2234396394,12.294907491195536,395347.21640036633,5.794575567376077,407866.7656822719,0.5014564124673759,388411.9650535778,5.8075077287407115
601158fc289a20936908ffd2,array_size,734,251199.023875598,0.8748266730062481,91128.9766572337,22.71617333895206,22170.98764383367,3.3760938878457285,244132.70307369644,7.160925769952509,265651.10515508335,0.49018060900540084,99974.05958125839,1.064471552635196,97497.48987655116,1.7198859787604523,97378.97335467486,2.052505705683095
60115954289a20936908ffd5,array_size,482,381239.5617190561,0.7831385923930145,153970.9235869835,10.414495378664713,32486.256312127032,9.470802267617206,353279.26941832993,11.79043972618013,389455.17673218186,5.199736874614133,157772.65201895905,0.6124382120150156,148654.4607424122,3.109954285533353,148469.06863718206,4.209575067083554
60115954289a20936908ffd6,array_size,680,270726.70092082984,4.4695888565972295,113952.75377585279,0.48464344265571324,24333.06809862758,0.6654114813759372,275810.04403323255,1.5163451877573044,253389.77554322535,10.924501125778441,103434.1055943615,3.908681316074679,106292.40923934571,2.8218398548715418,104928.21872227019,1.27960158065947
601159e2289a20936908ffda,array_size,258,682475.927962115,5.808671059221947,288594.80136131635,3.5212149715185705,62997.12635415184,2.4566253142688788,695012.0177762045,1.2414453617286305,667852.8397824868,8.46761290795628,313665.06605426123,1.2816857093845098,315700.50975303195,0.895881942512655,308240.34856768174,1.1549794962066091
601159e2289a20936908ffd9,array_size,318,553694.4059600458,1.4244498739876699,240625.99976344415,0.736015056828503,51463.407044594176,1.3474265741320788,537065.7100401842,7.364062677015884,549690.9053095446,9.707847476870354,249057.14080159317,0.8696179049223259,243688.79722160092,1.6347971055837855,243560.3457063275,1.5868787319370754
60115ade289a20936908ffdc,array_size,812,235895.17692221023,1.3413946232492555,95706.39853306058,0.6208618772323525,19947.558272428087,4.498462989149324,209096.54734043698,20.08915330209491,212406.21649345953,9.769867400413208,86824.31649451639,3.4625539222038024,88533.40524723215,1.9377588180984198,89117.43688166227,1.0386004340498494
60115b2f289a20936908ffdf,array_size,72,2225918.8261291203,7.422783685304384,981168.2729584896,0.544602634183038,216231.4306018584,1.0625104437908257,2272553.4152363953,0.9134095434243712,2313768.0237943227,1.5324702643555526,1038165.0310733153,2.2402736245305577,1041569.8739909292,2.6503361719821292,1061925.845916766,1.1041521434367456
60115b2f289a20936908ffe0,array_size,24,5359967.430246586,5.989344059845609,2704871.170025511,0.6245965113216592,573577.0283557137,1.5570003287245167,5626181.282585441,3.0270409037105246,5063471.314167743,11.315992691113467,2861230.654231706,2.8917171184210564,2714022.8757872637,4.498300183336504,2742442.3230764344,3.074768249494838
60115b65289a20936908ffe4,array_size,240,732218.7217756126,4.079281447278441,315771.025538085,0.5187380830348672,68484.44063095549,0.5969963468471219,754124.6338593665,2.634204631008265,740903.667357296,1.0482410347319397,322878.0346566088,7.471302563797963,332078.5191520998,1.8269496427874268,330514.6946519002,1.7161724967959244
60115b65289a20936908ffe6,array_size,1024,185921.62566636785,4.224515865311883,74964.91785518182,3.5646299311548146,16098.856628909236,1.0738003051983886,177251.93042682376,4.469670856242515,190883.92289530067,0.7855691006751896,65934.79237868344,2.858497138918123,66376.97318268918,1.6011200320729626,66746.2193647739,1.3360586084953179
60115b65289a20936908ffe5,array_size,682,272750.61521768343,0.9352523703803131,113846.70532008367,0.6722340986842015,23204.510376315942,7.309541050244531,260093.51940345604,11.815989689528514,287990.378655839,0.8136594317544793,105036.34656371556,1.8703342534374785,105088.56084853393,1.6392517398221067,102650.61006932278,4.0004166541095625
60115b9a289a20936908ffe8,array_size,432,413743.61331630964,2.085594191960737,175065.44862914275,5.349467217795705,37913.361977693676,0.8085716096030022,414357.4407481661,5.6374932742963315,431982.2171382904,1.3049777434612972,178982.16217231014,0.4036688261967011,170483.4779456203,2.020400889302647,160812.84166273676,16.05359101597536
60115c73289a20936908ffea,array_size,814,223494.10658561322,1.8037399182453104,95940.43989071452,0.44951602336575636,20405.80793868583,1.2446799517734108,230747.3876349115,3.173718228966442,243220.17856902292,0.3138052590538534,85480.45230714952,4.835803726977081,87124.0801295131,2.2888966477176034,86667.96233393962,1.0323984204847279
60115ca8289a20936908ffec,array_size,160,1085541.769053247,2.32576478098926,449920.4662645055,2.985755875691785,100364.614551643,2.372055108981326,1076758.990397539,9.317988565346745,1151498.6185971163,0.5718490492551788,496757.64481039793,1.1147067468457053,471631.8898883708,7.266608454847757,495975.09165322385,1.8913311331766416
60115cda289a20936908ffef,array_size,8,13739838.569829222,1.5315640557633692,7165838.162873789,1.6967246828648401,1534009.9256236448,3.5346255059563623,14177520.064946823,1.8642159208351956,13864170.291695746,1.8940064689837146,7647720.085315511,14.678531544147146,8836600.985162854,1.5858347468005272,8154153.210459263,4.657090151974031
60115cda289a20936908fff0,array_size,246,704123.1560290245,8.638735593581497,301964.7858000418,2.916988123675971,65613.66499425331,2.646511939723166,746760.1671210815,1.856307791422838,710438.299629792,7.800415133861,312874.4143850077,5.084915092280911,332613.89548929944,3.2315430740356836,319647.3744127656,1.6528813879943693
60115da7289a20936908fff6,array_size,22,5789924.201986622,1.1088357071914732,3007266.412246869,0.7103989456032339,602259.1956083054,9.70921936184542,5595564.70399815,4.0688753919818925,5853129.841079791,3.267379884474945,2926899.3810384907,2.1420383551178768,3046746.002697467,1.5000197228020962,2982888.8029822716,1.7044612264555097
60115da7289a20936908fff4,array_size,870,207502.71702775834,1.4409029996495963,89881.95079119291,0.3677190653151552,19005.558296691834,1.3968173748867805,211576.2345489486,3.329543177689919,223712.31187365658,0.4280852981477506,77156.02593801763,3.497007966397061,80081.89662111334,1.0572265225956814,82276.95448604654,0.49597442496241256
60115da7289a20936908fff5,array_size,758,241853.54224631164,1.645161536322226,101879.05021099673,2.528424973572419,21724.806134615596,0.8515673622506322,261172.97599760428,0.9352903510697764,235467.67531635994,5.86825622176337,93024.87787938167,2.08211856518213,93121.28445818287,1.2042444344629253,93842.01682670589,0.681280969541661
60115df5289a20936908fff8,array_size,16,7327988.037782626,2.996212546691375,3903260.172925775,0.895551376881752,813789.3181755117,0.7619439054058408,7471688.993729239,2.0003427392503372,7299635.569296924,1.9856381554162428,4110881.722962338,4.372374504594615,4179391.0313831484,1.864917469663595,4092169.386334914,1.5437367181852455
60115f0e289a20936908fffa,array_size,400,463027.11252816307,1.6396894176247778,188427.52561699977,2.216229889227197,41192.72505696468,1.7563269225854394,449126.2094167808,3.378225743978478,448875.2981969024,1.1379485097743764,181381.6525959264,13.422444507986366,187913.6924569728,1.9543207669160738,188733.73703304393,0.44423691130183296
60115f80289a20936908fffd,array_size,592,312815.24172200763,3.5937102356728374,130393.44801699356,0.7773716612673709,27885.193075791354,0.3498194972168038,325587.2455866894,4.069788816013096,293599.60641567764,9.16700770411897,115730.80318299991,9.235523637914932,119936.29989460723,1.7771885035695778,121792.65037653083,0.6554957608315777
60115f80289a20936908fffe,array_size,934,201985.34992059943,8.630416312679765,83543.93509704262,0.5343595660819369,17669.574471784388,1.4826025088609358,202492.47363085972,1.0816689664152084,198671.24696330042,3.9921631345631376,77862.41438418909,0.31522349748503825,73552.22858294955,3.964242337616196,74661.14680441015,1.355314047686932
60115fa7289a209369090006,array_size,118,1390104.262580176,4.448268338746203,614595.0246872145,0.4899485573288128,135738.59172993002,0.5038525548853234,1451328.7048073022,1.0745573293103583,1436068.0748500794,6.672340887334113,679753.9471618307,1.1131344265311183,682706.1016609299,1.3394897416898377,669065.457973303,1.7681467892938212
60115fa7289a209369090003,array_size,646,288595.3464465072,3.7852801576704764,119864.86735739805,0.5086316617999369,24372.137111608536,10.222071140656151,301589.40817253443,1.5536589306966513,290957.15711535496,8.830780372035864,107174.50513494022,4.351712010520053,108992.36037212629,2.034195004207812,111494.41113169443,0.5785644936062591
